Length,Speed
1.996,0.0756
0.87,0.0878
1.22,0.0813
1.218,0.0721
1.538,0.0603
4.397,0.0452
0.696,0.072777778
2.843,0.0532
8.595,0.0794
1.794,0.073
14.326,0.0539
7.143,0.0684
2.79,0.0617
2.827,0.0542
7.835,0.0453
3.305,0.0555
4.763,0.0556
1.305,0.086
2.525,0.0576
7.612,0.0482
8.701,0.0548
0.668,0.0631
2.783,0.0697
2.489,0.0439
2.904,0.0533
1.887,0.0342
2.465,0.0847
6.451,0.0623
6.928,0.0568
1.305,0.0686
0.989,0.0597
4.304,0.037333333
1.044,0.0772
6.743,0.038
8.973,0.0588
4.656,0.063997778
1.449,0.0835
2.277,0.0723
2.529,0.0509
1.305,0.06
2.039,0.0703
14.584,0.0624
1.163,0.087
0.66,0.0581
2.373,0.0867
1.369,0.066
1.622,0.0633
2.319,0.0697
2.994,0.053
1.827,0.066
