Length,Speed
13.575,0.051571429
9.748,0.047421053
5.355,0.044333333
0.813,0.0731
13.785,0.046611111
7.196,0.040045455
9.88,0.047722222
5.457,0.0585
2.902,0.07325
0.957,0.0645
2.527,0.0498125
1.916,0.064125
19.216,0.057625
2.055,0.068894737
2.077,0.0894
9.855,0.046833333
0.668,0.073611111
4.724,0.061166667
6.904,0.052578947
26.37,0.05248
11.978,0.048125
1.657,0.068583333
1.131,0.052866667
4.035,0.05065
6.331,0.053818182
8.714,0.054166667
8.507,0.0615
3.524,0.065136364
4.063,0.045277778
1.856,0.062722222
4.003,0.04975
5.368,0.051076923
1.044,0.07975
4.146,0.069315789
3.112,0.068588235
10.019,0.0788
1.625,0.085555556
4.536,0.077882353
3.242,0.081222222
2.128,0.086333333
2.934,0.066428571
8.75,0.083133333
8.334,0.084
1.74,0.081
5.15,0.057764706
4.87,0.079705882
5.495,0.0623125
1.886,0.085857143
